task,chain
Task13,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Determine the recovery strategy by prioritizing failed nodes based on betweenness centrality in interdependent directed networks, Assess network recovery resilience in interdependent directed networks by evaluating the recovery order based on betweenness centrality through cumulative population restoration"
Task14,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Determine the recovery strategy by prioritizing failed nodes based on nodes maximum degree in interdependent directed networks, Assess network recovery resilience in interdependent directed networks by evaluating the recovery order based on nodes maximum degree through cumulative population restoration"
Task15,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Determine the recovery strategy by prioritizing failed nodes based on propagation range in interdependent directed networks, Assess network recovery resilience in interdependent directed networks by evaluating the recovery order based on propagation range through cumulative population restoration"
Task16,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Solve the node recovery order using Genetic Algorithm based on GSCC in interdependent directed networks, Assess the resilience of interdependent directed networks by using cumulative population recovery to evaluate recovery order generated by GSCC-based genetic algorithms"
Task17,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Solve the node recovery order using Simulated Annealing based on GSCC in interdependent directed networks, Assess the resilience of interdependent directed networks by using cumulative population recovery to evaluate recovery order generated by GSCC-based simulated annealing"
Task18,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Solve the node recovery order by summing the cumulative served population after each recovery step using a Genetic Algorithm, Assess the resilience of interdependent directional networks by using cumulative population recovery to assess the recovery order generated by a genetic algorithm based on a cumulative serving population"
Task19,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Solve the node recovery order by summing the cumulative served population after each recovery step using Simulated Annealing, Assess the resilience of interdependent directional networks by using cumulative population recovery to assess the recovery order generated by a simulated annealing based on a cumulative serving population"
Task20,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks with different resource requirements for nodes and edges using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Use a genetic algorithm to optimize the recovery order and resource allocation for maximizing the network's clustering coefficient after cascading infrastructure failures"
Task21,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks with different resource requirements for nodes and edges using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Use a genetic algorithm to optimize the recovery order and resource allocation for restoring populations after infrastructure failures while minimizing the associated repair costs"
Task22,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks with different resource requirements for nodes and edges using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Use a genetic algorithm to optimize the recovery order and resource allocation for restoring populations after infrastructure failures prioritizing based on available resources and affected populations"
Task23,"Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event"
Task24,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks with different resource requirements for nodes and edges using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Simulate post-disaster network optimization by adding backup nodes to mitigate the effects of cascading failures"
Task25,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks with different resource requirements for nodes and edges using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Simulate post-disaster network optimization by generating new nodes and edges to restore service to affected areas after a cascading failure"
Task26,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Simulate cascading failures in an infrastructure network by evenly distributing node loads"
Task27,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Simulate cascading failures in an infrastructure network by redistributing node loads proportionally to their connection strength"
Task28,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Simulate cascading failures in an infrastructure network by redistributing node loads based on the shortest geographical distance"
Task29,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Simulate cascade failure behavior using Monte Carlo methods"
Task30,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Simulate cascading failure behavior using a system dynamics model"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
