tool,description,step input,step,step output
recovery_order_determined_based_on_population_by_GA,"This tool is to determine recovery order based on population by GA. It reads the interdependent critical infrastructures networks in interdependent_critical_infrastructures_networks.json, the population data in population_data.json, and the failure node in failure_node_after_HECRAS_simulations.json from Global_Data.json as input. It outputs the recovery order in recovery_order_determined_based_on_population_by_GA.json and saved in Global_Data.json. If this function is running, you could find the path of recovery_order_determined_based_on_population_by_GA.json in Global_Data.json.","interdependent_critical_infrastructures_networks.json, failure_node_after_HECRAS_simulations.json, population_data.json",Determine recovery order based on population by GA,recovery_order_determined_based_on_population_by_GA.json
recovery_order_determined_based_on_population_by_SA,"This tool is to determine recovery order based on population by SA. It reads the interdependent critical infrastructures networks in interdependent_critical_infrastructures_networks.json, the population data in population_data.json, and the failure node in failure_node_after_HECRAS_simulations.json from Global_Data.json as input. It outputs the recovery order in recovery_order_determined_based_on_population_by_SA.json and saved in Global_Data.json. If this function is running, you could find the path of recovery_order_determined_based_on_population_by_SA.json in Global_Data.json.","interdependent_critical_infrastructures_networks.json, failure_node_after_HECRAS_simulations.json, population_data.json",Determine recovery order based on population by SA,recovery_order_determined_based_on_population_by_SA.json
recovery_order_determined_based_on_propagation_ranges,"This tool is to determine recovery order based on propagation ranges. It reads the interdependent critical infrastructures networks in interdependent_critical_infrastructures_networks.json and the failure node in failure_node_after_HECRAS_simulations.json from Global_Data.json as input. It outputs the recovery order in recovery_order_determined_based_on_propagation_ranges.json and saved in Global_Data.json. If this function is running, you could find the path of recovery_order_determined_based_on_propagation_ranges.json in Global_Data.json.","interdependent_critical_infrastructures_networks.json, failure_node_after_HECRAS_simulations.json",Determine recovery order based on propagation ranges,recovery_order_determined_based_on_propagation_ranges.json
during_recovery_assessment_of_betweenness_based_recovery_order,"This tool is to assess recovery order based on betweenness during recovery. It reads the interdependent critical infrastructures networks in interdependent_critical_infrastructures_networks.json, the population data in population_data.json, and the recovery order in recovery_order_determined_based_on_betweenness.json from Global_Data.json as input. It outputs the recovery assessment of recovery order in during_recovery_assessment_of_betweenness_based_recovery_order.json and saved in Global_Data.json. If this function is running, you could find the path of during_recovery_assessment_of_betweenness_based_recovery_order.json in Global_Data.json.","interdependent_critical_infrastructures_networks.json, population_data.json, recovery_order_determined_based_on_betweenness.json",Assess recovery order based on betweenness during recovery,during_recovery_assessment_of_betweenness_based_recovery_order.json
during_recovery_assessment_of_GA_derived_GSCC_based_recovery_order,"This tool is to assess recovery order based on GSCC by GA during recovery. It reads the interdependent critical infrastructures networks in interdependent_critical_infrastructures_networks.json, the population data in population_data.json, and the recovery order in recovery_order_determined_based_on_GSCC_by_GA.json from Global_Data.json as input. It outputs the recovery assessment of recovery order in during_recovery_assessment_of_GA_derived_GSCC_based_recovery_order.json and saved in Global_Data.json. If this function is running, you could find the path of during_recovery_assessment_of_GA_derived_GSCC_based_recovery_order.json in Global_Data.json.","interdependent_critical_infrastructures_networks.json, population_data.json, recovery_order_determined_based_on_GSCC_by_GA.json",Assess recovery order based on GSCC by GA during recovery,during_recovery_assessment_of_GA_derived_GSCC_based_recovery_order.json
during_recovery_assessment_of_SA_derived_GSCC_based_recovery_order,"This tool is to assess recovery order based on GSCC by SA during recovery. It reads the interdependent critical infrastructures networks in interdependent_critical_infrastructures_networks.json, the population data in population_data.json, and the recovery order in recovery_order_determined_based_on_GSCC_by_SA.json from Global_Data.json as input. It outputs the recovery assessment of recovery order in during_recovery_assessment_of_SA_derived_GSCC_based_recovery_order.json and saved in Global_Data.json. If this function is running, you could find the path of during_recovery_assessment_of_SA_derived_GSCC_based_recovery_order.json in Global_Data.json.","interdependent_critical_infrastructures_networks.json, population_data.json, recovery_order_determined_based_on_GSCC_by_SA.json",Assess recovery order based on GSCC by SA during recovery,during_recovery_assessment_of_SA_derived_GSCC_based_recovery_order.json
during_recovery_assessment_of_node_degree_based_recovery_order,"This tool is to assess recovery order based on node degree during recovery. It reads the interdependent critical infrastructures networks in interdependent_critical_infrastructures_networks.json, the population data in population_data.json, and the recovery order in recovery_order_determined_based_on_node_degree.json from Global_Data.json as input. It outputs the recovery assessment of recovery order in during_recovery_assessment_of_node_degree_based_recovery_order.json. If this function is running, you could find the path of during_recovery_assessment_of_node_degree_based_recovery_order.json in Global_Data.json.","interdependent_critical_infrastructures_networks.json, population_data.json, recovery_order_determined_based_on_node_degree.json",Assess recovery order based on node degree during recovery,during_recovery_assessment_of_node_degree_based_recovery_order.json
during_recovery_assessment_of_GA_derived_population_based_recovery_order,"This tool is to assess recovery order based on population by GA during recovery. It reads the interdependent critical infrastructures networks in interdependent_critical_infrastructures_networks.json, the population data in population_data.json, and the recovery order in recovery_order_determined_based_on_population_by_GA.json from Global_Data.json as input. It outputs the recovery assessment of recovery order in during_recovery_assessment_of_GA_derived_population_based_recovery_order.json and saved in Global_Data.json. If this function is running, you could find the path of during_recovery_assessment_of_GA_derived_population_based_recovery_order.json in Global_Data.json.","interdependent_critical_infrastructures_networks.json, population_data.json, recovery_order_determined_based_on_population_by_GA.json",Assess recovery order based on population by GA during recovery,during_recovery_assessment_of_GA_derived_population_based_recovery_order.json
during_recovery_assessment_of_SA_derived_population_based_recovery_order,"This tool is to assess recovery order based on population by SA during recovery. It reads the interdependent critical infrastructures networks in interdependent_critical_infrastructures_networks.json, the population data in population_data.json, and the recovery order in recovery_order_determined_based_on_population_by_SA.json from Global_Data.json as input. It outputs the recovery assessment of recovery order in during_recovery_assessment_of_SA_derived_population_based_recovery_order.json and saved in Global_Data.json. If this function is running, you could find the path of during_recovery_assessment_of_SA_derived_population_based_recovery_order.json in Global_Data.json.","interdependent_critical_infrastructures_networks.json, population_data.json, recovery_order_determined_based_on_population_by_SA.json",Assess recovery order based on population by SA during recovery,during_recovery_assessment_of_SA_derived_population_based_recovery_order.json
during_recovery_assessment_of_propagation_ranges_based_recovery_order,"This tool is to assess recovery order based on propagation ranges during recovery. It reads the interdependent critical infrastructures networks in interdependent_critical_infrastructures_networks.json, the population data in population_data.json, and the recovery order in recovery_order_determined_based_on_propagation_ranges.json from Global_Data.json as input. It outputs the recovery assessment of recovery order in during_recovery_assessment_of_propagation_ranges_based_recovery_order.json and saved in Global_Data.json. If this function is running, you could find the path of during_recovery_assessment_of_propagation_ranges_based_recovery_order.json in Global_Data.json.","interdependent_critical_infrastructures_networks.json, population_data.json, recovery_order_determined_based_on_propagation_ranges.json",Assess recovery order based on propagation ranges during recovery,during_recovery_assessment_of_propagation_ranges_based_recovery_order.json
post_disaster_assessment_based_on_average_path_length,"This tool is to assess post-disaster assessment based on average path length. It reads the interdependent critical infrastructures networks in interdependent_critical_infrastructures_networks.json and the failure node in failure_node_after_HECRAS_simulations.json from Global_Data.json as input. It outputs the post-disaster assessment in post_disaster_assessment_based_on_average_path_length.json and saved in Global_Data.json. If this function is running, you could find the path of post_disaster_assessment_based_on_average_path_length.json in Global_Data.json.","interdependent_critical_infrastructures_networks.json, failure_node_after_HECRAS_simulations.json",Assess post-disaster assessment based on average path length,post_disaster_assessment_based_on_average_path_length.json
post_disaster_assessment_based_on_connectivity,"This tool is to assess post-disaster assessment based on connectivity. It reads the interdependent critical infrastructures networks in interdependent_critical_infrastructures_networks.json and the failure node in failure_node_after_HECRAS_simulations.json from Global_Data.json as input. It outputs the post-disaster assessment in post_disaster_assessment_based_on_connectivity.json and saved in Global_Data.json. If this function is running, you could find the path of post_disaster_assessment_based_on_connectivity.json in Global_Data.json.","interdependent_critical_infrastructures_networks.json, failure_node_after_HECRAS_simulations.json",Assess post-disaster assessment based on connectivity,post_disaster_assessment_based_on_connectivity.json
post_disaster_assessment_based_on_diameter,"This tool is to assess post-disaster assessment based on diameter. It reads the interdependent critical infrastructures networks in interdependent_critical_infrastructures_networks.json and the failure node in failure_node_after_HECRAS_simulations.json from Global_Data.json as input. It outputs the post-disaster assessment in post_disaster_assessment_based_on_diameter.json and saved in Global_Data.json. If this function is running, you could find the path of post_disaster_assessment_based_on_diameter.json in Global_Data.json.","interdependent_critical_infrastructures_networks.json, failure_node_after_HECRAS_simulations.json",Assess post-disaster assessment based on diameter,post_disaster_assessment_based_on_diameter.json
post_disaster_assessment_based_on_global_network_efficiency,"This tool is to assess post-disaster assessment based on global network efficiency. It reads the interdependent critical infrastructures networks in interdependent_critical_infrastructures_networks.json and the failure node in failure_node_after_HECRAS_simulations.json from Global_Data.json as input. It outputs the post-disaster assessment in post_disaster_assessment_based_on_global_network_efficiency.json and saved in Global_Data.json. If this function is running, you could find the path of post_disaster_assessment_based_on_global_network_efficiency.json in Global_Data.json.","interdependent_critical_infrastructures_networks.json, failure_node_after_HECRAS_simulations.json",Assess post-disaster assessment based on global network efficiency,post_disaster_assessment_based_on_global_network_efficiency.json
post_disaster_assessment_based_on_node_reachability,"This tool is to assess post-disaster assessment based on node reachability. It reads the interdependent critical infrastructures networks in interdependent_critical_infrastructures_networks.json and the failure node in failure_node_after_HECRAS_simulations.json from Global_Data.json as input. It outputs the post-disaster assessment in post_disaster_assessment_based_on_node_reachability.json and saved in Global_Data.json. If this function is running, you could find the path of post_disaster_assessment_based_on_node_reachability.json in Global_Data.json.","interdependent_critical_infrastructures_networks.json, failure_node_after_HECRAS_simulations.json",Assess post-disaster assessment based on node reachability,post_disaster_assessment_based_on_node_reachability.json
recovery_plan_determined_based_on_WCC_by_GA,"This tool is to determine recovery plan based on WCC by GA. It reads the resource constrained interdependent critical infrastructures networks in resource_constrained_interdependent_critical_infrastructures_networks.json, the resource constraints per day in resource_constraints_per_day.json, the population data in population_data.json, and the failure node in failure_node_after_HECRAS_simulations.json from Global_Data.json as input. It outputs the recovery plan in recovery_plan_determined_based_on_WCC_by_GA.json and saved in Global_Data.json. If this function is running, you could find the path of recovery_plan_determined_based_on_WCC_by_GA.json in Global_Data.json.","resource_constrained_interdependent_critical_infrastructures_networks.json, resource_constraints_per_day.json, population_data.json, failure_node_after_HECRAS_simulations.json",Determine recovery plan based on WCC by GA,recovery_plan_determined_based_on_WCC_by_GA.json
recovery_plan_determined_based_on_population_by_GA,"This tool is to determine recovery plan based on population by GA. It reads the resource constrained interdependent critical infrastructures networks in resource_constrained_interdependent_critical_infrastructures_networks.json, the resource constraints per day in resource_constraints_per_day.json, the population data in population_data.json, and the failure node in failure_node_after_HECRAS_simulations.json from Global_Data.json as input. It outputs the recovery plan in recovery_plan_determined_based_on_population_by_GA.json and saved in Global_Data.json. If this function is running, you could find the path of recovery_plan_determined_based_on_population_by_GA.json in Global_Data.json.","resource_constrained_interdependent_critical_infrastructures_networks.json, resource_constraints_per_day.json, population_data.json, failure_node_after_HECRAS_simulations.json",Determine recovery plan based on population by GA,recovery_plan_determined_based_on_population_by_GA.json
recovery_plan_determined_based_on_clustering_coefficient,"This tool is to determine recovery plan based on clustering coefficient. It reads the resource constrained interdependent critical infrastructures networks in resource_constrained_interdependent_critical_infrastructures_networks.json, the resource constraints per day in resource_constraints_per_day.json, and the failure node in failure_node_after_HECRAS_simulations.json from Global_Data.json as input. It outputs the recovery plan in recovery_plan_determined_based_on_clustering_coefficient.json and saved in Global_Data.json. If this function is running, you could find the path of recovery_plan_determined_based_on_clustering_coefficient.json in Global_Data.json.","resource_constrained_interdependent_critical_infrastructures_networks.json, resource_constraints_per_day.json, failure_node_after_HECRAS_simulations.json",Determine recovery plan based on clustering coefficient,recovery_plan_determined_based_on_clustering_coefficient.json
recovery_plan_determined_under_resource_constraints,"This tool is to determine recovery plan under resource constraints. It reads the resource constrained interdependent critical infrastructures networks in resource_constrained_interdependent_critical_infrastructures_networks.json, the population data in population_data.json, and the failure node in failure_node_after_HECRAS_simulations.json from Global_Data.json as input. It outputs the recovery plan in recovery_plan_determined_under_resource_constraints.json and saved in Global_Data.json. If this function is running, you could find the path of recovery_plan_determined_under_resource_constraints.json in Global_Data.json.","resource_constrained_interdependent_critical_infrastructures_networks.json, population_data.json, failure_node_after_HECRAS_simulations.json",Determine recovery plan under resource constraints,recovery_plan_determined_under_resource_constraints.json
recovery_plan_determined_under_cost_constraints,"This tool is to determine recovery plan under cost constraints. It reads the resource constrained interdependent critical infrastructures networks in resource_constrained_interdependent_critical_infrastructures_networks.json, the population data in population_data.json, and the failure node in failure_node_after_HECRAS_simulations.json from Global_Data.json as input. It outputs the recovery plan in recovery_plan_determined_under_cost_constraints.json and saved in Global_Data.json. If this function is running, you could find the path of recovery_plan_determined_under_cost_constraints.json in Global_Data.json.","resource_constrained_interdependent_critical_infrastructures_networks.json, population_data.json, failure_node_after_HECRAS_simulations.json",Determine recovery plan under cost constraints,recovery_plan_determined_under_cost_constraints.json
cascade_failure_simulator_based_on_Load_Capacity_model_with_uniform_load_redistribution,"This tool is to simulate cascade failure based on Load-Capacity model with uniform load redistribution. It reads the interdependent critical infrastructures networks in interdependent_critical_infrastructures_networks.json, the failure node in failure_node_after_HECRAS_simulations.json, and the load distribution in load_distribution.json from Global_Data.json as input. It outputs the cascade failure simulator in cascade_failure_simulator_based_on_Load_Capacity_model_with_uniform_load_redistribution.json and saved in Global_Data.json. If this function is running, you could find the path of cascade_failure_simulator_based_on_Load_Capacity_model_with_uniform_load_redistribution.json in Global_Data.json.","interdependent_critical_infrastructures_networks.json, failure_node_after_HECRAS_simulations.json, load_distribution.json",Simulate cascade failure based on Load-Capacity model with uniform load redistribution,cascade_failure_simulator_based_on_Load_Capacity_model_with_uniform_load_redistribution.json
cascade_failure_simulator_based_on_Load_Capacity_model_with_proportional_load_redistribution,"This tool is to simulate cascade failure based on Load-Capacity model with proportional load redistribution. It reads the interdependent critical infrastructures networks in interdependent_critical_infrastructures_networks.json, the failure node in failure_node_after_HECRAS_simulations.json, and the load distribution in load_distribution.json from Global_Data.json as input. It outputs the cascade failure simulator in cascade_failure_simulator_based_on_Load_Capacity_model_with_proportional_load_redistribution.json and saved in Global_Data.json. If this function is running, you could find the path of cascade_failure_simulator_based_on_Load_Capacity_model_with_proportional_load_redistribution.json in Global_Data.json.","interdependent_critical_infrastructures_networks.json, failure_node_after_HECRAS_simulations.json, load_distribution.json",Simulate cascade failure based on Load-Capacity model with proportional load redistribution,cascade_failure_simulator_based_on_Load_Capacity_model_with_proportional_load_redistribution.json
cascade_failure_simulator_based_on_Load_Capacity_model_with_nearest_neighbour_load_redistribution,"This tool is to simulate cascade failure based on Load-Capacity model with nearest neighbour load redistribution. It reads the interdependent critical infrastructures networks in interdependent_critical_infrastructures_networks.json, the failure node in failure_node_after_HECRAS_simulations.json, and the load distribution in load_distribution.json from Global_Data.json as input. It outputs the cascade failure simulator in cascade_failure_simulator_based_on_Load_Capacity_model_with_nearest_neighbour_load_redistribution.json and saved in Global_Data.json. If this function is running, you could find the path of cascade_failure_simulator_based_on_Load_Capacity_model_with_nearest_neighbour_load_redistribution.json in Global_Data.json.","interdependent_critical_infrastructures_networks.json, failure_node_after_HECRAS_simulations.json, load_distribution.json",Simulate cascade failure based on Load-Capacity model with nearest neighbour load redistribution,cascade_failure_simulator_based_on_Load_Capacity_model_with_nearest_neighbour_load_redistribution.json
cascade_failure_simulator_based_on_Monte_Carlo_model,"This tool is to simulate cascade failure based on Monte Carlo model. It reads the interdependent critical infrastructures networks in interdependent_critical_infrastructures_networks.json and the failure node in failure_node_after_HECRAS_simulations.json from Global_Data.json as input. It outputs the cascade failure simulator in cascade_failure_simulator_based_on_Monte_Carlo_model.json and saved in Global_Data.json. If this function is running, you could find the path of cascade_failure_simulator_based_on_Monte_Carlo_model.json in Global_Data.json.","interdependent_critical_infrastructures_networks.json, failure_node_after_HECRAS_simulations.json",Simulate cascade failure based on Monte Carlo model,cascade_failure_simulator_based_on_Monte_Carlo_model.json
cascade_failure_simulator_based_on_Motter_Lai_model,"This tool is to simulate cascade failure based on Motter Lai model. It reads the interdependent critical infrastructures networks in interdependent_critical_infrastructures_networks.json and the failure node in failure_node_after_HECRAS_simulations.json from Global_Data.json as input. It outputs the cascade failure simulator in cascade_failure_simulator_based_on_Motter_Lai_model.json and saved in Global_Data.json. If this function is running, you could find the path of cascade_failure_simulator_based_on_Motter_Lai_model.json in Global_Data.json.","interdependent_critical_infrastructures_networks.json, failure_node_after_HECRAS_simulations.json",Simulate cascade failure based on Motter Lai model,cascade_failure_simulator_based_on_Motter_Lai_model.json
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
